iterationNumber,MeanTravelTime,WarmUpTime,CarsInSimulationCount,CarsAcrossCorridorCount
112,131.222,100.22222222222223,79,16
113,130.008,100.22222222222223,74,14
114,124.889,100.22222222222223,75,12
115,128.222,100.22222222222223,82,16
116,132.156,100.22222222222223,79,15
117,126.156,100.22222222222223,81,15
118,130.281,100.22222222222223,75,17
119,131.16,100.22222222222223,77,16
120,128.356,100.22222222222223,81,15
121,130.693,100.22222222222223,79,17
122,129.81,100.22222222222223,79,17
123,129.689,100.22222222222223,82,15
124,132.453,100.22222222222223,76,13
125,132.222,100.22222222222223,79,16
126,127.722,100.22222222222223,80,18
127,130.956,100.22222222222223,80,15
128,126.651,100.22222222222223,76,14
129,130.16,100.22222222222223,77,16
130,126.376,100.22222222222223,76,13
131,128.722,100.22222222222223,86,18
132,130.944,100.22222222222223,77,18
133,131.575,100.22222222222223,84,17
134,128.008,100.22222222222223,79,14
135,129.285,100.22222222222223,80,16
136,130.097,100.22222222222223,78,16
137,124.889,100.22222222222223,78,18
138,126.222,100.22222222222223,81,17
139,128.285,100.22222222222223,79,16
140,129.956,100.22222222222223,82,15
141,129.34,100.22222222222223,84,17
142,129.222,100.22222222222223,81,17
143,127.16,100.22222222222223,75,16
144,130.356,100.22222222222223,79,15
145,131.022,100.22222222222223,77,15
146,127.556,100.22222222222223,79,15
147,129.347,100.22222222222223,82,16
148,132.105,100.22222222222223,80,17
149,132.889,100.22222222222223,81,18
150,127.163,100.22222222222223,78,17
151,127.516,100.22222222222223,81,17
152,129.105,100.22222222222223,79,17
153,129.458,100.22222222222223,81,17
154,129.035,100.22222222222223,79,16
155,128.915,100.22222222222223,73,13
156,127.778,100.22222222222223,86,18
157,126.222,100.22222222222223,77,15
158,130.489,100.22222222222223,75,15
159,126.91,100.22222222222223,82,16
160,129.579,100.22222222222223,75,14
161,131.222,100.22222222222223,81,15
162,126.597,100.22222222222223,79,16
163,130.34,100.22222222222223,80,17
164,131.079,100.22222222222223,77,14
165,130.399,100.22222222222223,83,17
166,130.822,100.22222222222223,80,15
167,131.294,100.22222222222223,75,14
168,129.722,100.22222222222223,81,16
169,127.722,100.22222222222223,79,16
170,130.222,100.22222222222223,87,21
171,130.299,100.22222222222223,75,13
172,129.163,100.22222222222223,80,17
173,130.651,100.22222222222223,75,14
174,126.915,100.22222222222223,77,13
175,130.5,100.22222222222223,82,18
176,127.156,100.22222222222223,79,15
177,131.046,100.22222222222223,81,17
