Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Local_X,Local_Y,Global_X,Global_Y,Veh_Len,Veh_Wid,Veh_Class,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Intersection,Section,Direction,Movement,Preceding_Veh,Following_Veh,Spacing,Headway
512,2990,1468,1163329300,-11.542,2049.545,2230781.639,1377506.447,16.0,7.0,2,41.9,0.0,2,115,201,5,0,4,3,0,0,0.0,0.0
513,3038,162,1163334100,-23.354,702.96,2230556.4869999997,1376236.554,14.7,6.6,2,17.67,-2.37,0,122,202,2,0,4,3,0,0,0.0,0.0
517,3063,17,1163336600,-2.6639999999999997,2054.8179999999998,2230789.606,1377513.0159999998,16.2,6.8,2,17.28,0.0,0,114,214,5,0,2,2,0,0,0.0,0.0
518,3082,37,1163338500,1.589,144.628,2230518.627,1375677.6369999999,13.5,7.0,2,19.57,0.0,9999,123,223,1,0,2,2,0,0,0.0,0.0
519,3088,25,1163339100,-8.907,2050.11,2230784.1569999997,1377507.409,14.8,6.8,2,16.51,0.0,0,115,214,5,0,2,2,0,0,0.0,0.0
523,3114,29,1163341700,5.462000000000001,2057.6620000000003,2230797.201,1377517.07,14.9,6.8,2,17.42,-0.59,0,115,214,5,0,2,2,0,0,0.0,0.0
524,3099,797,1163340200,9.986,260.0,2230545.027,1375790.951,16.5,7.0,2,26.33,0.0,3,102,214,0,2,2,1,0,0,0.0,0.0
525,3126,287,1163342900,-3.9739999999999998,1992.815,2230797.8,1377451.531,16.6,6.5,2,20.73,-4.91,0,115,212,5,0,4,3,0,0,0.0,0.0
527,3135,26,1163343800,1.3319999999999999,2055.016,2230793.525,1377513.823,15.5,6.8,2,16.32,-1.44,0,115,214,5,0,2,2,0,0,0.0,0.0
529,3130,90,1163343300,24.112,53.291000000000004,2230533.057,1375585.01,15.1,7.0,2,26.65,0.0,2,101,202,0,1,2,1,410,0,592.61,22.24
530,3130,782,1163343300,12.133,52.533,2230521.056,1375585.2240000002,16.5,7.0,2,32.81,0.0,1,101,214,0,1,2,1,524,0,286.3,8.73
532,3146,1257,1163344900,-13.832,1996.592,2230787.4790000003,1377453.767,15.7,6.9,2,18.25,-1.18,0,115,201,5,0,4,3,0,0,0.0,0.0
533,3141,16,1163344400,-20.678,132.119,2230494.797,1375667.205,12.1,6.7,2,24.53,0.0,2,123,201,0,1,4,1,0,290,0.0,0.0
535,3161,25,1163346400,-2.0469999999999997,2058.679,2230789.625,1377516.926,17.4,7.0,2,16.15,-0.99,0,115,214,5,0,2,2,0,0,0.0,0.0
537,3174,27,1163347700,-7.756,2049.429,2230785.399,1377506.9119999998,16.6,6.7,2,17.36,-1.34,0,115,214,5,0,2,2,0,0,0.0,0.0
539,3177,22,1163348000,-20.319000000000003,130.752,2230495.044,1375665.814,13.0,6.5,2,22.73,0.0,2,123,201,0,1,4,1,0,290,0.0,0.0
542,3173,57,1163347600,5.472,79.775,2230516.623,1375612.916,16.0,7.0,2,12.04,0.0,11,101,201,0,1,2,1,0,543,0.0,0.0
543,3173,58,1163347600,7.2410000000000005,26.302,2230514.056,1375559.475,17.0,7.0,2,24.95,0.0,11,101,201,0,1,2,1,542,0,53.47,2.14
544,3196,27,1163349900,-3.6489999999999996,2054.669,2230788.656,1377512.718,15.7,7.0,2,16.73,-1.36,0,115,214,5,0,2,2,0,0,0.0,0.0
545,3188,680,1163349100,22.516,43.715,2230530.691,1375575.594,17.1,7.0,2,33.74,0.0,2,101,214,0,1,2,1,410,0,602.27,17.85
546,3197,265,1163350000,5.349,35.48,2230512.914,1375568.7759999998,16.1,7.0,2,14.38,0.0,11,101,223,0,1,2,1,543,0,38.6,2.68
556,3230,1434,1163353300,13.707,62.608000000000004,2230523.441,1375595.139,17.0,7.0,2,39.75,0.0,1,101,214,0,1,2,1,524,0,535.86,13.48
558,3241,14,1163354400,23.34,2063.365,2230813.996,1377525.4419999998,14.7,7.5,2,18.78,0.0,11,114,214,5,0,2,2,0,0,0.0,0.0
559,3266,894,1163356900,-13.552,1991.366,2230788.555,1377448.646,15.4,6.5,2,23.6,-2.67,0,115,202,5,0,4,3,0,0,0.0,0.0
562,3258,1415,1163356100,24.513,114.613,2230538.422,1375646.0980000002,17.0,7.0,2,33.95,0.0,2,101,214,0,1,2,1,545,0,167.15,4.92
564,3258,1395,1163356100,14.219000000000001,74.141,2230524.885,1375606.592,16.0,7.0,2,36.64,0.0,1,101,213,0,1,2,1,530,0,225.9,6.17
567,3355,1985,1163365800,0.166,2010.379,2230799.201,1377469.54,15.1,7.1,2,9.5,8.62,0,113,201,5,0,4,2,0,0,0.0,0.0
569,3348,131,1163365100,-2.5989999999999998,1672.382,2230829.797,1377133.2230000002,14.7,6.6,2,6.46,-0.13,1,118,212,0,5,4,1,532,559,0.0,0.0
575,3352,199,1163365500,-27.195999999999998,711.671,2230554.313,1376245.826,14.2,6.5,2,19.18,0.0,0,122,202,2,0,4,3,0,0,0.0,0.0
577,3385,25,1163368800,-0.01,159.80200000000002,2230519.716,1375692.856,17.5,7.0,2,18.96,0.0,9999,123,223,1,0,2,2,0,0,0.0,0.0
578,3385,52,1163368800,4.002,126.255,2230518.921,1375659.362,19.0,7.0,2,16.51,0.0,11,101,223,0,1,2,1,0,546,0.0,0.0
579,3385,882,1163368800,14.044,113.66799999999999,2230527.911,1375646.004,17.5,7.0,2,47.48,0.0,1,101,221,0,1,2,1,556,0,446.24,9.4
584,3444,43,1163374700,5.322,2052.825,2230797.8030000003,1377512.269,15.5,7.0,2,12.86,-1.57,0,115,214,5,0,2,2,0,0,0.0,0.0
585,3444,35,1163374700,3.1210000000000004,135.226,2230518.769,1375668.375,19.5,7.0,2,23.35,0.0,11,101,223,0,1,2,1,0,0,0.0,0.0
587,3445,673,1163374800,7.815,36.335,2230515.441,1375569.429,16.0,7.0,2,25.46,0.0,11,101,223,0,1,2,1,585,0,100.76,3.96
590,3462,1079,1163376500,13.663,2013.5220000000002,2230812.06,1377474.705,15.7,7.2,2,19.64,0.0,0,115,201,5,0,4,3,0,0,0.0,0.0
593,3466,1225,1163376900,12.333,36.027,2230519.919,1375568.756,18.5,7.0,2,40.16,0.0,1,101,214,0,1,2,1,579,0,417.96,10.41
594,3475,1014,1163377800,12.745,1383.5120000000002,2230850.547,1376845.3469999998,16.3,7.4,2,20.39,0.0,1061,111,215,0,4,2,1,0,0,0.0,0.0
595,3528,867,1163383100,-28.627,709.934,2230552.587,1376244.381,17.9,6.9,2,13.84,0.0,0,122,201,2,0,4,3,0,0,0.0,0.0
